HYBAS_ID_08,PFAF_ID_07,s_T300,s_T400,s_T500,s_T600,s_T700,s_T800,s_ELEVDEF,s_AREA50
2080463460,2276804,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
2080463280,2276804,Downstream,Upstream,Upstream,Upstream,Upstream,Upstream,Downstream,Downstream
2080473140,2279160,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
2080473150,2279160,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
2080461360,2276804,Downstream,Upstream,Upstream,Upstream,Upstream,Upstream,Downstream,Downstream
2080461350,2276804,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
2080472920,2279160,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
2080473160,2279160,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
2080497610,2278049,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
2080465640,2279180,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
2080465900,2279180,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
2080499110,2278049,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
2080499350,2278049,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
2080477000,2279701,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
2080460100,2279180,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
2080460000,2279180,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
2080503570,2278049,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
2080503560,2278049,Upstream,Upstream,Upstream,Upstream,Downstream,Downstream,Upstream,Upstream
2080479820,2276923,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
2080478250,2279701,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
