PFAF_ID_07,n_children,delta_E_m,axis,relief_class,f_up_area,multi_outlet,split_degenerate
7744950,9,622.6,elevation,high,0.647,False,False
7744970,10,823.8,elevation,high,0.461,False,False
7747000,9,603.3,elevation,high,0.435,True,False
7748020,9,594.1,topology_pfaf,mixed,0.385,False,False
7748070,9,487.9,topology_pfaf,mixed,0.706,False,False
7748090,9,256.6,topology_pfaf,low,0.214,False,False
7748080,10,187.8,topology_pfaf,low,0.291,False,False
7810029,9,746.0,elevation,high,0.556,False,False
7810066,9,1204.7,elevation,high,0.654,False,False
7821002,9,918.4,elevation,high,0.689,False,False
7823006,9,632.4,elevation,high,0.608,False,False
7824001,9,353.0,topology_pfaf,mixed,0.35,False,False
7822006,9,951.0,elevation,high,1.0,False,True
7822009,9,921.2,elevation,high,0.555,False,False
7822008,9,644.5,elevation,high,0.518,False,False
7825060,9,535.4,topology_pfaf,mixed,0.362,False,False
7824006,9,550.8,topology_pfaf,mixed,0.79,False,False
7825080,9,539.4,topology_pfaf,mixed,0.511,False,False
7824009,9,255.7,topology_pfaf,low,0.539,False,False
7825024,9,329.0,topology_pfaf,mixed,0.281,False,False
7826126,9,665.4,elevation,high,0.581,False,False
7826160,9,678.3,elevation,high,0.52,False,False
7826170,5,708.9,elevation,high,0.541,False,False
7827064,9,681.0,elevation,high,0.6,False,False
7829101,9,254.0,topology_pfaf,low,0.172,False,False
7826180,9,807.0,elevation,high,0.593,False,False
7827066,9,930.4,elevation,high,0.516,False,False
7827068,9,586.2,topology_pfaf,mixed,0.49,False,False
7827069,9,555.0,topology_pfaf,mixed,0.534,False,False
7826202,9,374.9,topology_pfaf,mixed,0.692,False,False
7829102,9,465.6,topology_pfaf,mixed,0.548,False,False
7828020,9,485.6,topology_pfaf,mixed,0.598,False,False
7829106,9,418.4,topology_pfaf,mixed,0.502,False,False
7829108,9,1026.5,elevation,high,0.36,False,False
7828040,9,249.4,topology_pfaf,low,0.541,False,False
7826504,9,339.3,topology_pfaf,mixed,0.461,False,False
7826610,9,597.0,topology_pfaf,mixed,0.492,False,False
7826406,9,365.9,topology_pfaf,mixed,0.296,False,False
7826911,9,308.7,topology_pfaf,mixed,0.559,False,False
7829409,9,922.1,elevation,high,0.521,False,False
7829209,9,416.2,topology_pfaf,mixed,0.564,False,False
7826820,9,276.3,topology_pfaf,low,0.269,False,False
7826409,9,413.8,topology_pfaf,mixed,0.622,False,False
7828090,9,439.8,topology_pfaf,mixed,0.753,False,False
7829800,9,846.8,elevation,high,0.546,False,False
7829910,9,185.7,topology_pfaf,low,0.41,False,False
7829605,9,333.0,topology_pfaf,mixed,0.531,False,False
7826840,9,451.7,topology_pfaf,mixed,0.711,False,False
7826630,9,567.1,topology_pfaf,mixed,0.699,False,False
7829920,9,736.4,elevation,high,0.648,False,False
7829606,9,354.1,topology_pfaf,mixed,0.554,False,False
7829940,9,584.7,topology_pfaf,mixed,0.698,False,False
7826859,9,260.6,topology_pfaf,low,0.638,False,False
7826650,9,260.8,topology_pfaf,low,0.326,False,False
7826641,9,427.7,topology_pfaf,mixed,0.423,False,False
7829956,9,398.9,topology_pfaf,mixed,0.662,False,False
7826930,9,456.5,topology_pfaf,mixed,0.68,False,False
7826920,9,370.1,topology_pfaf,mixed,0.604,False,False
7826870,9,750.5,elevation,high,0.524,False,False
7826860,9,723.6,elevation,high,0.486,False,False
7826950,9,548.6,topology_pfaf,mixed,0.417,False,False
7826660,9,555.7,topology_pfaf,mixed,0.745,False,False
7826890,9,667.4,elevation,high,0.624,False,False
7826680,9,326.5,topology_pfaf,mixed,0.553,False,False
7826649,9,410.3,topology_pfaf,mixed,0.474,False,False
7826648,9,238.0,topology_pfaf,low,0.482,False,False
7829980,9,550.1,topology_pfaf,mixed,0.53,False,False
7826990,9,579.8,topology_pfaf,mixed,0.627,False,False
7829999,9,379.0,topology_pfaf,mixed,0.573,False,False
7831060,9,720.2,elevation,high,0.481,False,False
7831080,9,969.1,elevation,high,0.772,False,False
7832106,9,846.8,elevation,high,0.801,False,False
7832220,9,166.1,topology_pfaf,low,0.608,False,False
7832306,9,324.5,topology_pfaf,mixed,0.518,False,False
7832240,9,252.3,topology_pfaf,low,0.66,False,False
7832250,9,507.8,topology_pfaf,mixed,0.413,False,False
7832280,9,552.3,topology_pfaf,mixed,0.248,False,False
7832266,9,419.0,topology_pfaf,mixed,0.377,False,False
7832269,9,668.5,elevation,high,0.512,False,False
7832409,9,670.9,elevation,high,0.416,False,False
7832408,9,806.8,elevation,high,0.486,False,False
7832506,9,605.3,elevation,high,0.815,False,False
7832820,9,279.5,topology_pfaf,low,0.438,False,False
7832920,9,187.3,topology_pfaf,low,0.7,False,False
7832850,9,197.1,topology_pfaf,low,0.697,False,False
7832841,9,126.7,topology_pfaf,low,0.324,False,False
7832960,9,705.3,elevation,high,0.436,False,False
7832980,9,483.2,topology_pfaf,mixed,0.318,False,False
